ID,nb_visits,entry_nb_visits,exit_nb_visits
http://calenda.org/396298,153,60.0,70.0
http://calenda.org/389848,152,21.0,50.0
http://calenda.org/395358,152,65.0,60.0
http://calenda.org/300331,151,149.0,147.0
http://calenda.org/384211,151,33.0,46.0
http://calenda.org/390124,151,79.0,79.0
http://calenda.org/399179,149,74.0,83.0
http://calenda.org/388323,148,47.0,60.0
http://calenda.org/389066,148,87.0,89.0
http://calenda.org/393766,148,97.0,97.0
http://calenda.org/398240,148,87.0,87.0
http://calenda.org/398641,148,93.0,91.0
http://calenda.org/394139,147,89.0,97.0
http://calenda.org/401819,147,52.0,69.0
http://calenda.org/389999,146,79.0,77.0
http://calenda.org/394739,146,110.0,113.0
http://calenda.org/389366,145,94.0,89.0
http://calenda.org/394493,144,121.0,125.0
http://calenda.org/268290,143,143.0,140.0
http://calenda.org/393190,143,33.0,50.0
http://calenda.org/391767,141,57.0,72.0
http://calenda.org/395244,141,36.0,46.0
http://calenda.org/398426,141,69.0,76.0
http://calenda.org/389833,140,49.0,74.0
http://calenda.org/389434,139,63.0,66.0
http://calenda.org/395694,139,46.0,51.0
http://calenda.org/398034,139,75.0,84.0
http://calenda.org/193487,138,138.0,138.0
http://calenda.org/391254,138,94.0,92.0
http://calenda.org/387835,137,51.0,68.0
http://calenda.org/394558,137,91.0,94.0
http://calenda.org/396399,137,103.0,93.0
http://calenda.org/399308,136,100.0,96.0
http://calenda.org/388569,135,61.0,60.0
http://calenda.org/389045,135,80.0,81.0
http://calenda.org/391410,135,99.0,102.0
http://calenda.org/394990,135,71.0,72.0
http://calenda.org/399570,135,104.0,106.0
http://calenda.org/381041,134,73.0,77.0
http://calenda.org/402103,133,101.0,102.0
http://calenda.org/399269,131,79.0,87.0
http://calenda.org/396444,130,61.0,58.0
http://calenda.org/396710,130,119.0,120.0
http://calenda.org/387953,129,93.0,96.0
http://calenda.org/388373,129,46.0,55.0
http://calenda.org/388944,129,52.0,53.0
http://calenda.org/389388,129,61.0,69.0
